,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
303,1-Apr,Chicago-MDW,Heating,-0.030224207,-0.065329485,0.196183067,19.10208333,19.1296875,15.1796131,5293.875,6.5,677.03
305,1-Apr,Chicago-MDW,Heating,-0.265688314,-0.327641423,-0.059938265,19.10208333,19.1296875,15.1796131,5293.875,6.5,318.99
307,1-Apr,Chicago-MDW,Heating,-0.15157971,-0.19539956,0.088478317,19.10208333,19.1296875,15.1796131,5293.875,6.5,14.58
309,1-Apr,Chicago-MDW,Heating,-0.328221208,-0.403404939,-0.168139624,19.10208333,19.1296875,15.1796131,5293.875,6.5,0
311,1-Feb,Chicago-MDW,Heating,0.466833235,0.537185852,0.691199018,-22.44375,-22.815625,-9.857440476,5547.8125,1.75,1278.73
313,1-Feb,Chicago-MDW,Heating,0.33542157,0.401760806,0.563194323,-22.44375,-22.815625,-9.857440476,5547.8125,1.75,677.03
315,1-Feb,Chicago-MDW,Heating,0.16276193,0.203850682,0.321996235,-22.44375,-22.815625,-9.857440476,5547.8125,1.75,318.99
317,1-Feb,Chicago-MDW,Heating,0.263359078,0.320660335,0.465345077,-22.44375,-22.815625,-9.857440476,5547.8125,1.75,14.58
319,1-Feb,Chicago-MDW,Heating,0.11503469,0.144277499,0.232306275,-22.44375,-22.815625,-9.857440476,5547.8125,1.75,0
321,1-Jan,Chicago-MDW,Heating,0.399627622,0.430387339,0.614905148,10.85729167,7.855729167,-2.358184524,964.625,8.65625,1278.73
323,1-Jan,Chicago-MDW,Heating,0.274153511,0.299524095,0.475131487,10.85729167,7.855729167,-2.358184524,964.625,8.65625,677.03
325,1-Jan,Chicago-MDW,Heating,0.117608276,0.133868188,0.254114102,10.85729167,7.855729167,-2.358184524,964.625,8.65625,318.99
327,1-Jan,Chicago-MDW,Heating,0.193000542,0.217056789,0.380179494,10.85729167,7.855729167,-2.358184524,964.625,8.65625,14.58
329,1-Jan,Chicago-MDW,Heating,0.054947513,0.069365514,0.165943756,10.85729167,7.855729167,-2.358184524,964.625,8.65625,0
331,1-Mar,Chicago-MDW,Heating,0.392000501,0.443725521,0.583356608,-7.059375,-5.712239583,-1.734077381,8498,0.541666667,1278.73
333,1-Mar,Chicago-MDW,Heating,0.268993408,0.313570193,0.448860629,-7.059375,-5.712239583,-1.734077381,8498,0.541666667,677.03
335,1-Mar,Chicago-MDW,Heating,0.127984254,0.155197754,0.258272412,-7.059375,-5.712239583,-1.734077381,8498,0.541666667,318.99
337,1-Mar,Chicago-MDW,Heating,0.207635609,0.244377784,0.365826129,-7.059375,-5.712239583,-1.734077381,8498,0.541666667,14.58
339,1-Mar,Chicago-MDW,Heating,0.077034992,0.09091504,0.16779674,-7.059375,-5.712239583,-1.734077381,8498,0.541666667,0
341,20-Feb,Chicago-MDW,Heating,0.45921586,0.521357302,0.616367727,1.076041667,1.7453125,6.16703869,850.75,10,1278.73
343,20-Feb,Chicago-MDW,Heating,0.32642621,0.386369169,0.47909814,1.076041667,1.7453125,6.16703869,850.75,10,677.03
